,industry_code,total_wages_before,quarter,total_wages_after,wage_change
851,All Other Miscellaneous Waste Management Services ,22956.52380952381,2,45085.23809523809,-22128.714285714283
852,All Other Miscellaneous Wood Product Mfg ,23850.4,2,29983.4,-6133.0
853,All Other Outpatient Care Centers ,16578.33823529412,2,25915.45588235294,-9337.117647058822
854,All Other Personal Services ,17905.169811320753,2,30947.20754716981,-13042.037735849059
855,All Other Plastics Product Mfg ,23104.0,2,36173.35582822086,-13069.355828220861
856,"All Other Professional, Scientific, and Technical ...",23060.05325443787,2,40022.73964497042,-16962.686390532548
857,All Other Publishers ,39820.85294117647,2,61154.0,-21333.14705882353
858,All Other Rubber Product Mfg ,15411.875,2,35865.208333333336,-20453.333333333336
859,All Other Specialty Food Retailers ,13193.57142857143,2,12092.785714285714,1100.7857142857156
860,All Other Specialty Trade Contractors,19368.8623853211,2,31124.908256880735,-11756.045871559636
861,All Other Support Activities for Trans ,14699.923076923076,2,32817.92307692308,-18118.0
862,All Other Support Services,12266.004098360656,2,20781.77049180328,-8515.766393442624
863,All Other Telecommunications ,30534.607476635512,2,42721.59813084112,-12186.990654205609
864,All Other Transit and Ground Passenger Trans ,9855.673913043478,2,20789.260869565216,-10933.586956521738
865,All Other Trans Equipment Mfg ,26582.9012345679,2,38139.1975308642,-11556.2962962963
866,All Other Travel Arrangement and Reservation Servi...,14388.1625,2,28446.3125,-14058.15
867,All Other Traveler Accommodation ,7351.826086956522,2,22491.869565217392,-15140.04347826087
868,"Aluminum Sheet, Plate, and Foil Mfg ",24516.428571428572,2,60715.142857142855,-36198.71428571428
869,Ambulance Services ,16112.920634920634,2,25802.309523809523,-9689.388888888889
870,Ammunition (except Small Arms) Mfg ,25962.454545454544,2,48119.63636363636,-22157.181818181816
871,Amusement Arcades,10532.541666666666,2,20279.958333333332,-9747.416666666666
872,Amusement and Theme Parks ,9088.82142857143,2,19668.85714285714,-10580.035714285712
873,Animal (except Poultry) Slaughtering ,15084.09090909091,2,28935.390909090907,-13851.299999999997
874,Apiculture,11021.0,2,17824.666666666668,-6803.666666666668
875,Apparel Knitting Mills,23195.25,2,37575.9,-14380.650000000001
876,Appliance Repair and Maintenance ,16720.933333333334,2,24547.733333333334,-7826.799999999999
877,Apprenticeship Training ,47232.5,2,42185.25,5047.25
878,Architectural Services,28754.780487804877,2,51776.829268292684,-23022.048780487807
879,Armored Car Services ,19582.8,2,32538.8,-12956.0
880,Art Dealers ,3455.6,2,166335.4,-162879.8
881,Artificial and Synthetic Fibers and Filaments Mfg,13119.285714285714,2,25553.238095238095,-12433.952380952382
882,Asphalt Paving Mixture and Block Mfg ,13890.666666666666,2,34968.333333333336,-21077.66666666667
883,Asphalt Shingle and Coating Materials Mfg ,37977.333333333336,2,53765.5,-15788.166666666664
884,Assisted Living Facilities for the Elderly ,13192.656357388316,2,21420.917525773195,-8228.261168384879
885,Automobile Driving Schools ,10755.166666666666,2,20641.333333333332,-9886.166666666666
886,Automobile and Light Duty Motor Vehicle Mfg ,22443.206896551725,2,39669.60344827586,-17226.396551724138
887,Automobile and Other Motor Vehicle Merchant Wholes...,35099.927710843374,2,53614.0843373494,-18514.156626506025
888,"Automotive Body, Paint, and Interior Repair and Ma...",16181.25925925926,2,29476.654320987655,-13295.395061728395
889,Automotive Glass Replacement Shops ,12601.70588235294,2,32231.235294117647,-19629.529411764706
890,Automotive Oil Change and Lubrication Shops ,15355.34693877551,2,29156.20408163265,-13800.857142857141
891,Automotive Parts and Accessories Retailers ,14226.250814332248,2,21395.459283387623,-7169.208469055375
892,Ball and Roller Bearing Mfg,18818.666666666668,2,39039.8,-20221.133333333335
893,Barber Shops ,14452.25,2,23441.416666666668,-8989.166666666668
894,Battery Mfg ,24234.233082706767,2,39855.466165413534,-15621.233082706767
895,Beauty Salons ,10106.15,2,16795.7625,-6689.612500000001
896,Bed-and-Breakfast Inns ,5914.0,2,17377.0,-11463.0
897,Beef Cattle Ranching and Farming ,7335.0,2,16101.5,-8766.5
898,Beer and Ale Merchant Wholesalers ,16457.375,2,29643.041666666668,-13185.666666666668
899,"Beer, Wine, and Liquor Retailers ",10654.38961038961,2,15342.194805194806,-4687.805194805196
900,Berry (except Strawberry) Farming ,15712.5,2,17563.3,-1850.7999999999993
901,Biological Product (except Diagnostic) Mfg ,40228.8,2,36816.4,3412.4000000000015
902,Blood and Organ Banks ,14064.28205128205,2,23183.247863247863,-9118.965811965812
903,Boat Building ,16867.634146341465,2,23726.268292682926,-6858.634146341461
904,Boat Dealers ,17961.0,2,33833.8,-15872.800000000003
905,"Bolt, Nut, Screw, Rivet, and Washer Mfg ",20758.4,2,72360.8,-51602.4
906,Book Publishers ,45541.545454545456,2,63945.27272727273,-18403.727272727272
907,Book Retailers and News Dealers ,6320.0,2,17170.272727272728,-10850.272727272728
908,"Book, Periodical, and Newspaper Merchant Wholesale...",9330.083333333334,2,21028.916666666668,-11698.833333333334
909,Bottled Water Mfg ,21293.74193548387,2,31235.90322580645,-9942.16129032258
910,Bowling Centers,7344.621621621622,2,16251.486486486487,-8906.864864864865
911,Breakfast Cereal Mfg,33699.0,2,48176.47619047619,-14477.47619047619
912,Breweries,24575.4,2,44910.2,-20334.799999999996
913,"Brick, Stone, and Related Const Material Merchant ...",19224.75,2,36863.775,-17639.025
914,Broadwoven Fabric Mills,13911.72,2,31182.54,-17270.82
915,Broilers and Other Meat Type Chicken Production ,15035.461538461539,2,25911.69230769231,-10876.23076923077
916,Building Inspection Services,20626.1,2,27265.1,-6639.0
917,Bus and Other Motor Vehicle Transit Systems ,16366.70588235294,2,27244.91176470588,-10878.20588235294
918,Business Associations ,22623.03125,2,42315.09375,-19692.0625
919,"Cafeterias, Grill Buffets, and Buffets ",7705.977777777778,2,14787.466666666667,-7081.488888888889
920,Cane Sugar Mfg ,19917.5,2,28190.166666666668,-8272.666666666668
921,"Capacitor, Resistor, Coil, Transformer, and Other ...",21724.6,2,37327.2,-15602.599999999999
922,Car Washes ,14130.31884057971,2,22546.101449275364,-8415.782608695654
923,Carpet and Rug Mills,18351.62328767123,2,33854.54109589041,-15502.91780821918
924,Carpet and Upholstery Cleaning Services,16186.384615384615,2,20064.0,-3877.6153846153848
925,Casino Hotels,22232.0,2,33671.0,-11439.0
926,Casinos (except Casino Hotels),8094.0,2,15406.42857142857,-7312.428571428571
927,Caterers,10885.589041095891,2,20095.657534246577,-9210.068493150686
928,Cement Mfg,18283.666666666668,2,40653.11111111111,-22369.44444444444
929,Cemeteries and Crematories ,9054.375,2,19132.125,-10077.75
930,Charter Bus Industry,15373.692307692309,2,28528.53846153846,-13154.846153846152
931,Cheese Mfg ,21384.6,2,20609.8,774.7999999999993
932,Chicken Egg Production ,16797.428571428572,2,32109.714285714286,-15312.285714285714
933,Child Care Services ,10866.825072886297,2,18676.556851311954,-7809.7317784256575
934,Child and Youth Services ,18372.725,2,24081.8875,-5709.162500000002
935,Civic and Social Organizations ,14321.73786407767,2,20749.766990291264,-6428.029126213594
936,Claims Adjusting ,43916.55140186916,2,60819.33644859813,-16902.785046728968
937,Clay Building Material and Refractories Mfg ,15047.478260869566,2,26428.304347826088,-11380.826086956522
938,Clothing and Clothing Accessories Merchant Wholesa...,13439.153846153846,2,21103.507692307692,-7664.3538461538465
939,Clothing and Clothing Accessories Retailers ,11751.605357142857,2,18734.917857142857,-6983.3125
940,Coal and Other Mineral and Ore Merchant Wholesaler...,1773.6666666666667,2,20052.333333333332,-18278.666666666664
941,Coastal and Great Lakes Passenger Trans ,11047.8,2,30398.2,-19350.4
942,Coffee and Tea Mfg ,27796.285714285714,2,50777.92857142857,-22981.64285714286
943,Coin-Operated Laundries and Drycleaners ,7893.809523809524,2,15301.333333333334,-7407.52380952381
944,Collection Agencies,17555.29696969697,2,24941.109090909093,-7385.812121212122
945,"Colleges, Universities, and Professional Schools ",22200.747023809523,2,35989.16815476191,-13788.421130952385
946,"Commercial Air, Rail, and Water Trans Equipment Re...",5519.25,2,52897.0,-47377.75
947,Commercial Bakeries ,26893.587719298244,2,41332.0,-14438.412280701756
948,Commercial Banking ,24886.681415929204,2,40625.765486725664,-15739.08407079646
949,Commercial Photography ,21314.428571428572,2,32578.14285714286,-11263.714285714286
950,Commercial Printing (except Screen and Books) ,25066.72807017544,2,33406.149122807015,-8339.421052631576
951,Commercial Screen Printing ,13832.71875,2,19427.3125,-5594.59375
952,Commercial and Industrial Machinery and Equipment ...,28583.964285714286,2,45534.13392857143,-16950.16964285714
953,Commercial and Institutional Building Const ,28974.301104972375,2,47857.21270718232,-18882.911602209944
954,Commercial and Service Industry Machinery Mfg ,20453.46153846154,2,39490.230769230766,-19036.769230769227
955,"Commercial, Industrial, and Institutional Electric...",48617.13333333333,2,52971.666666666664,-4354.533333333333
956,Community Food Services ,17105.555555555555,2,18049.555555555555,-944.0
957,Computer Facilities Management Services ,32763.984375,2,35249.15625,-2485.171875
958,Computer Systems Design Services ,32239.008154943935,2,55503.71559633027,-23264.707441386337
959,Computer Terminal and Other Computer Peripheral Eq...,50042.391304347824,2,58156.739130434784,-8114.34782608696
960,Computer Training ,26075.714285714286,2,36703.0,-10627.285714285714
961,Computer and Computer Peripheral Equipment and Sof...,50798.669117647056,2,76327.13235294117,-25528.46323529412
962,"Computing Infrastructure Providers, Data Processin...",34062.77777777778,2,55540.23180076628,-21477.454022988502
963,Concrete Block and Brick Mfg ,16190.666666666666,2,26347.5,-10156.833333333334
964,Confectionery Mfg from Purchased Chocolate ,31628.75,2,30806.375,822.375
965,Confectionery Merchant Wholesalers ,22555.65,2,39172.55,-16616.9
966,Confectionery and Nut Retailers ,3874.8888888888887,2,7650.111111111111,-3775.2222222222226
967,Const Machinery Mfg,19643.90361445783,2,39353.048192771086,-19709.144578313255
968,Const Sand and Gravel Mining ,17602.333333333332,2,44337.0,-26734.666666666668
969,Const and Mining (except Oil Well) Machinery and E...,32579.12328767123,2,43237.6301369863,-10658.506849315068
970,"Const, Mining, and Forestry Machinery and Equipmen...",45909.4375,2,53769.5,-7860.0625
971,Consumer Electronics and Appliances Rental,20550.0,2,35314.434782608696,-14764.434782608696
972,Consumer Lending ,16044.987654320988,2,27470.444444444445,-11425.456790123457
973,Continuing Care Retirement Communities ,13530.982142857143,2,24925.9375,-11394.955357142857
974,Convenience Retailers ,11314.42857142857,2,19038.85714285714,-7724.428571428571
975,Convention and Trade Show Organizers,10831.01,2,36409.45,-25578.439999999995
976,Convention and Visitors Bureaus ,9724.25,2,35440.0,-25715.75
977,Conveyor and Conveying Equipment Mfg ,20527.4,2,34675.0,-14147.599999999999
978,Cookie and Cracker Mfg ,21548.589743589742,2,45655.820512820515,-24107.230769230773
979,"Copper Rolling, Drawing, Extruding, and Alloying",25010.5,2,57413.25,-32402.75
980,"Corporate, Subsidiary, and Regional Managing Offic...",29685.415887850468,2,44673.21183800623,-14987.795950155763
981,Correctional Institutions ,17205.852459016394,2,27566.491803278688,-10360.639344262294
982,Corrugated and Solid Fiber Box Mfg ,23480.492063492064,2,35418.06349206349,-11937.571428571428
983,"Cosmetics, Beauty Supplies, and Perfume Retailers ",10319.741573033707,2,13931.662921348314,-3611.921348314607
984,Cosmetology and Barber Schools ,15852.285714285714,2,37148.42857142857,-21296.14285714286
985,Cotton Farming,15666.857142857143,2,24212.85714285714,-8545.999999999998
986,Cotton Ginning ,12018.25,2,25041.6875,-13023.4375
987,Couriers and Express Delivery Services,12797.705607476635,2,21190.00934579439,-8392.303738317756
988,Court Reporting and Stenotype Services ,13191.333333333334,2,24497.5,-11306.166666666666
989,Courts ,24132.0,2,34548.12,-10416.120000000003
990,Credit Bureaus,39399.51515151515,2,78856.27272727272,-39456.75757575757
991,Credit Card Issuing ,65165.380952380954,2,86122.04761904762,-20956.666666666664
992,Credit Unions ,20559.661417322834,2,35047.87401574803,-14488.212598425194
993,Crushed and Broken Granite Mining and Quarrying ,30816.083333333332,2,39058.833333333336,-8242.750000000004
994,Current-Carrying Wiring Device Mfg ,16397.35714285714,2,31136.214285714286,-14738.857142857145
995,Curtain and Linen Mills,13692.742857142857,2,23744.22857142857,-10051.485714285714
996,Custom Architectural Woodwork and Millwork Mfg ,26558.0,2,40889.0,-14331.0
997,Custom Compounding of Purchased Resins ,22738.714285714286,2,34880.28571428572,-12141.571428571431
998,Custom Computer Programming Services ,37353.1388101983,2,62705.88668555241,-25352.747875354107
999,"Cut Stock, Resawing Lumber, and Planing ",14376.09090909091,2,25676.545454545456,-11300.454545454546
1000,Cut Stone and Stone Product Mfg ,7457.133333333333,2,29280.066666666666,-21822.933333333334
1001,Cut and Sew Apparel Contractors ,5799.6,2,17233.4,-11433.800000000001
1002,Cut and Sew Apparel Mfg (except Contractors) ,14068.648648648648,2,27378.945945945947,-13310.297297297298
1003,Cutting Tool and Machine Tool Accessory Mfg ,39468.25,2,50732.0,-11263.75
1004,"Cyclic Crude, Intermediate, and Gum and Wood Chemi...",17025.666666666668,2,40253.333333333336,-23227.666666666668
1005,Dairy Cattle and Milk Production,32807.666666666664,2,48197.0,-15389.333333333336
1006,Dairy Product (except Dried or Canned) Merchant Wh...,26678.666666666668,2,31512.733333333334,-4834.066666666666
1007,Dental Laboratories ,22759.53846153846,2,35159.07692307692,-12399.538461538461
1008,Department Stores ,10956.611021936864,2,20020.852327447832,-9064.241305510968
1009,Diagnostic Imaging Centers ,26793.113636363636,2,33386.13636363636,-6593.022727272724
1010,Diet and Weight Reducing Centers ,14247.833333333334,2,13483.666666666666,764.1666666666679
1011,Direct Health and Medical Insurance Carriers ,25704.64935064935,2,38775.818181818184,-13071.168831168834
1012,Direct Life Insurance Carriers ,18960.522058823528,2,32928.35294117647,-13967.83088235294
1013,Direct Mail Advertising,27772.0,2,47278.0,-19506.0
1014,Direct Property and Casualty Insurance Carriers ,20070.461832061068,2,36672.28625954199,-16601.82442748092
1015,Direct Title Insurance Carriers ,29857.1,2,61102.9,-31245.800000000003
1016,Directory and Mailing List Publishers ,41149.9375,2,66020.9375,-24871.0
1017,Distilleries ,4906.75,2,29039.0,-24132.25
1018,Document Preparation Services,27107.833333333332,2,38443.61111111111,-11335.777777777777
1019,Dog and Cat Food Mfg ,29911.733333333334,2,52564.2,-22652.466666666664
1020,"Doll, Toy, and Game Mfg",37384.5,2,44988.0,-7603.5
1021,Drilling Oil and Gas Wells,17752.333333333332,2,47567.5,-29815.166666666668
1022,Drinking Places (Alcoholic Beverages) ,11115.345454545455,2,19696.7,-8581.354545454546
1023,Drugs and Druggists' Sundries Merchant Wholesalers...,45926.57142857143,2,62046.619047619046,-16120.047619047618
1024,"Dry Pasta, Dough, and Flour Mixes Mfg from Purchas...",30930.428571428572,2,44618.95238095238,-13688.52380952381
1025,Drycleaning and Laundry Services (except Coin-Oper...,13471.344827586207,2,22978.08620689655,-9506.741379310344
1026,Drywall and Insulation Contractors ,23711.552631578947,2,33478.89473684211,-9767.34210526316
1027,Educational Support Services,21886.21111111111,2,30360.866666666665,-8474.655555555553
1028,Electric Power Distribution ,29574.285714285714,2,57941.142857142855,-28366.85714285714
1029,"Electrical Apparatus and Equipment, Wiring Supplie...",23550.8375,2,38969.8875,-15419.049999999996
1030,Electrical Contractors and Other Wiring Installati...,22228.10465116279,2,38089.18139534884,-15861.076744186048
1031,Electromedical and Electrotherapeutic Apparatus Mf...,69075.0,2,79772.4,-10697.399999999994
1032,Electronic Computer Mfg ,40043.416666666664,2,67080.79166666667,-27037.375000000007
1033,Electronic and Precision Equipment Repair and Main...,30322.069444444445,2,41723.916666666664,-11401.847222222219
1034,Electronics and Appliance Retailers ,18780.794612794612,2,32520.599326599327,-13739.804713804715
1035,"Electroplating, Plating, Polishing, Anodizing, and...",22817.473684210527,2,31935.21052631579,-9117.736842105263
1036,Elementary and Secondary Schools ,14456.05280348394,2,23958.647795318455,-9502.594991834514
1037,Elevator and Moving Stairway Mfg ,12713.333333333334,2,31589.666666666668,-18876.333333333336
1038,Emergency and Other Relief Services ,17522.04081632653,2,29878.061224489797,-12356.020408163266
1039,Employment Placement Agencies ,18853.356015779093,2,31781.07593688363,-12927.719921104537
1040,Engineered Wood Member Mfg ,11958.933333333332,2,23357.666666666668,-11398.733333333335
1041,Engineering Services,30940.489361702126,2,55001.715805471125,-24061.226443769
1042,"Environment, Conservation and Wildlife Organizatio...",21689.625,2,33489.25,-11799.625
1043,Environmental Consulting Services,30135.3125,2,46294.5625,-16159.25
1044,Exam Preparation and Tutoring ,20284.35714285714,2,27860.785714285714,-7576.4285714285725
1045,Executive Offices ,20902.428571428572,2,36661.57142857143,-15759.142857142855
1046,Executive Search Services ,22870.61151079137,2,42486.352517985615,-19615.741007194247
1047,"Executive and Legislative Offices, Combined ",17751.40263157895,2,29022.086842105262,-11270.684210526313
1048,Exterminating and Pest Control Services,17883.113636363636,2,26906.439393939392,-9023.325757575756
1049,Fabric Coating Mills,18338.0,2,38703.5,-20365.5
1050,Fabricated Pipe and Pipe Fitting Mfg ,33299.57142857143,2,47998.71428571428,-14699.142857142855
1051,Fabricated Structural Metal Mfg ,18170.472222222223,2,37815.11111111111,-19644.638888888887
1052,Facilities Support Services,15075.809782608696,2,26375.676630434784,-11299.866847826088
1053,Family Planning Centers ,18467.933333333334,2,39656.666666666664,-21188.73333333333
1054,Farm Labor Contractors and Crew Leaders ,18968.7,2,30753.7,-11785.0
1055,Farm Machinery and Equipment Mfg ,22400.125,2,38259.375,-15859.25
1056,Farm Product Warehousing and Storage,14664.375,2,20360.5,-5696.125
1057,Farm Supplies Merchant Wholesalers ,21128.733333333334,2,37795.166666666664,-16666.43333333333
1058,Farm and Garden Machinery and Equipment Merchant W...,19642.344444444443,2,30439.2,-10796.855555555558
1059,"Fastener, Button, Needle, and Pin Mfg ",17773.166666666668,2,30177.333333333332,-12404.166666666664
1060,Fats and Oils Refining and Blending ,37112.333333333336,2,43846.833333333336,-6734.5
1061,Fertilizer (Mixing Only) Mfg ,24034.0,2,32178.25,-8144.25
1062,Fiber Optic Cable Mfg ,31561.25,2,42181.85,-10620.599999999999
1063,"Fiber, Yarn, and Thread Mills ",18325.873134328358,2,31610.671641791047,-13284.798507462689
1064,"Financial Transactions Processing, Reserve, and Cl...",29480.55905511811,2,47423.11811023622,-17942.55905511811
1065,Fine Arts Schools ,10959.0,2,15349.5,-4390.5
1066,Finish Carpentry Contractors,24540.132075471698,2,33612.622641509435,-9072.490566037737
1067,Fire Protection ,4224.75,2,81634.0,-77409.25
1068,Fish and Seafood Merchant Wholesalers ,27308.666666666668,2,43782.22222222222,-16473.55555555555
1069,Fitness and Recreational Sports Centers ,15114.06106870229,2,17029.93893129771,-1915.87786259542
1070,Flat Glass Mfg ,11983.21052631579,2,32558.052631578947,-20574.842105263157
1071,Flavoring Syrup and Concentrate Mfg,50309.63157894737,2,71491.84210526316,-21182.210526315794
1072,Flight Training ,16711.384615384617,2,49300.61538461538,-32589.230769230766
1073,Floor Covering Retailers ,17129.4406779661,2,35352.50847457627,-18223.067796610172
1074,Flooring Contractors,27800.947368421053,2,46057.36842105263,-18256.42105263158
1075,Floriculture Production ,33316.0,2,48775.5,-15459.5
1076,Florists ,11589.4,2,21892.166666666668,-10302.766666666668
1077,"Flower, Nursery Stock, and Florists' Supplies Merc...",15076.0,2,20705.333333333332,-5629.333333333332
1078,Fluid Milk Mfg ,15290.25,2,68202.0,-52911.75
1079,Fluid Power Cylinder and Actuator Mfg ,25722.571428571428,2,43207.42857142857,-17484.857142857145
1080,Fluid Power Pump and Motor Mfg ,12546.42857142857,2,37941.28571428572,-25394.857142857145
1081,Fluid Power Valve and Hose Fitting Mfg ,30620.666666666668,2,41156.666666666664,-10535.999999999996
1082,Folding Paperboard Box Mfg ,26838.021276595744,2,51094.51063829787,-24256.489361702126
1083,Food (Health) Supplement Retailers ,21927.714285714286,2,31007.428571428572,-9079.714285714286
1084,Food Product Machinery Mfg ,23355.428571428572,2,38224.42857142857,-14869.0
1085,Food Service Contractors,14386.153571428571,2,24388.814285714285,-10002.660714285714
1086,Footwear Mfg ,20296.0,2,17044.4,3251.5999999999985
1087,Footwear Merchant Wholesalers ,54612.8,2,80706.0,-26093.199999999997
1088,Forest Nurseries and Gathering of Forest Products ,8185.25,2,22837.25,-14652.0
1089,Formal Wear and Costume Rental,18359.666666666668,2,24156.666666666668,-5797.0
1090,Fossil Fuel Electric Power Generation ,77886.4,2,89826.8,-11940.400000000009
1091,Framing Contractors ,10301.5,2,35823.0,-25521.5
1092,Freestanding Ambulatory Surgical and Emergency Cen...,21314.28,2,36370.94,-15056.660000000003
1093,Freight Trans Arrangement ,19527.2,2,37216.925,-17689.725000000002
1094,Fresh Fruit and Vegetable Merchant Wholesalers ,17968.946428571428,2,35738.19642857143,-17769.25
1095,"Frozen Cakes, Pies, and Other Pastries Mfg ",7763.555555555556,2,19934.0,-12170.444444444445
1096,"Frozen Fruit, Juice, and Vegetable Mfg ",27293.0,2,18986.666666666668,8306.333333333332
1097,Frozen Specialty Food Mfg ,13977.363636363636,2,23306.18181818182,-9328.818181818184
1098,Fruit and Vegetable Canning ,33408.71875,2,47609.21875,-14200.5
1099,Fruit and Vegetable Retailers ,10452.944444444445,2,26614.722222222223,-16161.777777777777
1100,Fuel Dealers ,16673.6875,2,32932.166666666664,-16258.479166666664
1101,Full-Service Restaurants ,10201.04474852071,2,19685.558801775147,-9484.514053254437
1102,Funeral Homes and Funeral Services ,16545.68,2,20562.8,-4017.119999999999
1103,Furniture Merchant Wholesalers ,24833.325581395347,2,35747.3023255814,-10913.97674418605
1104,Furniture Retailers ,18698.86335403727,2,30870.211180124224,-12171.347826086956
1105,"Gasket, Packing, and Sealing Device Mfg ",16303.538461538461,2,22786.30769230769,-6482.7692307692305
1106,Gasoline Stations with Convenience Stores ,10391.243553008597,2,16410.001432664758,-6018.757879656161
1107,General Automotive Repair ,20496.80769230769,2,30413.830769230768,-9917.023076923077
1108,"General Freight Trucking, Local ",15764.807692307691,2,25980.641025641027,-10215.833333333336
1109,"General Freight Trucking, Long-Distance, Less Than...",15650.570934256055,2,25742.5553633218,-10091.984429065746
1110,"General Freight Trucking, Long-Distance, Truckload...",16994.420974889217,2,35306.16543574594,-18311.744460856724
1111,General Line Grocery Merchant Wholesalers ,19953.36653386454,2,39616.40637450199,-19663.039840637448
1112,General Medical and Surgical Hospitals ,16027.719850808122,2,38877.42934106921,-22849.70949026109
1113,General Rental Centers,16255.857142857143,2,35394.78571428572,-19138.928571428572
1114,General Warehousing and Storage ,13690.444765045342,2,24057.88417147568,-10367.43940643034
1115,"Gift, Novelty, and Souvenir Retailers ",14837.21590909091,2,34863.48863636364,-20026.272727272728
1116,Glass Container Mfg ,25720.833333333332,2,34526.333333333336,-8805.500000000004
1117,Glass Product Mfg Made of Purchased Glass ,11618.0,2,40407.5,-28789.5
1118,Glass and Glazing Contractors ,26508.526315789473,2,30995.42105263158,-4486.894736842107
1119,Golf Courses and Country Clubs,19175.728813559323,2,27356.050847457627,-8180.322033898305
1120,Grantmaking Foundations ,18578.81818181818,2,38321.09090909091,-19742.27272727273
1121,Graphic Design Services,27466.722222222223,2,40405.72222222222,-12938.999999999996
1122,Ground or Treated Mineral and Earth Mfg ,37800.0,2,43492.5,-5692.5
1123,Guided Missile and Space Vehicle Mfg ,53878.5,2,50276.5,3602.0
1124,Gypsum Product Mfg,33039.181818181816,2,57800.90909090909,-24761.727272727272
1125,HMO Medical Centers ,22921.583333333332,2,36623.333333333336,-13701.750000000004
1126,Hardware Mfg,25274.15,2,32221.35,-6947.199999999997
1127,Hardware Merchant Wholesalers ,23412.716666666667,2,33135.26666666667,-9722.550000000003
1128,Hardware Retailers ,17245.887096774193,2,23974.129032258064,-6728.241935483871
1129,Hardwood Veneer and Plywood Mfg ,28210.098039215685,2,43938.529411764706,-15728.431372549021
1130,Hazardous Waste Treatment and Disposal ,33292.23809523809,2,37207.95238095238,-3915.71428571429
1131,Health and Welfare Funds ,33105.0,2,53049.333333333336,-19944.333333333336
1132,Heating Equipment (except Warm Air Furnaces) Mfg ,17174.75,2,29581.25,-12406.5
1133,Heavy Duty Truck Mfg,1360.4285714285713,2,40380.57142857143,-39020.142857142855
1134,"Highway, Street, and Bridge Const ",16881.85534591195,2,32404.37106918239,-15522.51572327044
1135,"Hobby, Toy, and Game Retailers ",11410.436363636363,2,13804.927272727273,-2394.4909090909096
1136,Home Centers ,15317.497942386832,2,28393.700960219478,-13076.203017832646
1137,Home Furnishing Merchant Wholesalers ,24525.86440677966,2,35523.813559322036,-10997.949152542376
1138,Home Health Services,13590.424205378973,2,21755.723716381417,-8165.299511002444
1139,Home Health Equipment Rental ,23117.86274509804,2,30963.333333333332,-7845.470588235294
1140,Hotels (except Casino Hotels) and Motels ,10037.357250755287,2,22146.33081570997,-12108.973564954684
1141,"Household Appliances, Electric Housewares, and Con...",22426.53846153846,2,45914.53846153846,-23488.0
1142,Household Furniture (except Wood and Upholstered) ...,43726.0,2,38873.4,4852.5999999999985
1143,Human Resources Consulting Services ,22929.45,2,37405.544444444444,-14476.094444444443
1144,Human Rights Organizations ,18635.927536231884,2,33012.13043478261,-14376.202898550724
1145,Hunting and Trapping,16770.833333333332,2,13340.5,3430.333333333332
1146,Ice Cream and Frozen Dessert Mfg,15386.0,2,28024.0,-12638.0
1147,Ice Mfg ,17268.0,2,21168.714285714286,-3900.7142857142862
1148,In-Vitro Diagnostic Substance Mfg ,35898.125,2,56674.0,-20775.875
1149,"Independent Artists, Writers, and Performers ",19679.82608695652,2,27285.08695652174,-7605.26086956522
1150,Indoor and Outdoor Display Advertising,14079.309278350516,2,21285.432989690722,-7206.123711340206
1151,Industrial Building Const ,28512.265060240963,2,44470.9156626506,-15958.650602409638
1152,Industrial Design Services,41764.333333333336,2,56164.0,-14399.666666666664
1153,Industrial Launderers ,21070.73076923077,2,41702.38461538462,-20631.653846153848
1154,Industrial Machinery and Equipment Merchant Wholes...,31021.9578313253,2,49112.14457831325,-18090.18674698795
1155,Industrial Mold Mfg ,24297.25,2,41953.25,-17656.0
1156,Industrial Process Furnace and Oven Mfg ,11218.666666666666,2,44205.333333333336,-32986.66666666667
1157,Industrial Sand Mining ,34590.75,2,48037.25,-13446.5
1158,Industrial Supplies Merchant Wholesalers,24003.837209302324,2,43056.395348837206,-19052.55813953488
1159,"Industrial Truck, Tractor, Trailer, and Stacker Ma...",26023.68181818182,2,36474.86363636364,-10451.18181818182
1160,Industrial Valve Mfg ,22415.666666666668,2,49461.0,-27045.333333333332
1161,Industrial and Personal Service Paper Merchant Who...,27872.378151260506,2,52196.97478991596,-24324.596638655457
1162,Institutional Furniture Mfg ,12130.727272727272,2,19040.81818181818,-6910.090909090908
1163,Instrument Mfg for Measuring and Testing Electrici...,59311.666666666664,2,96217.66666666667,-36906.00000000001
1164,Instruments and Related Products Mfg for Measuring...,32429.5,2,36802.125,-4372.625
1165,Insurance Agencies and Brokerages ,22155.881152460985,2,33484.0,-11328.118847539015
1166,Interior Design Services,22047.962962962964,2,37499.77777777778,-15451.814814814818
1167,"International, Secondary Market, and All Other Non...",20541.26153846154,2,33413.846153846156,-12872.584615384618
1168,Interurban and Rural Bus Trans,24884.0,2,39583.25,-14699.25
1169,Investigation and Personal Background Check Servic...,14788.304347826086,2,21609.17391304348,-6820.869565217394
1170,Investment Banking and Securities Intermediation ,35699.14492753623,2,62815.65217391304,-27116.50724637681
1171,Iron Foundries ,13147.173913043478,2,20456.434782608696,-7309.260869565218
1172,Iron and Steel Pipe and Tube Mfg from Purchased St...,20897.0,2,30464.25,-9567.25
1173,Irradiation Apparatus Mfg ,65290.166666666664,2,95306.16666666667,-30016.000000000007
1174,Janitorial Services ,10528.09281961471,2,17883.189141856394,-7355.096322241683
1175,Jewelry Retailers ,17212.7,2,28837.9,-11625.2
